"","X","id_odsp","time","event_type","side","is_goal"
"1",294,"bkjpaC6n/",45,7,1,0
"2",296,"bkjpaC6n/",45,7,2,0
"3",317,"bkjpaC6n/",59,7,1,0
"4",318,"bkjpaC6n/",60,1,1,1
"5",324,"bkjpaC6n/",63,7,2,0
"6",354,"bkjpaC6n/",81,1,1,1
"7",355,"bkjpaC6n/",82,7,2,0
"8",399,"CzPV312a/",28,1,2,1
"9",432,"CzPV312a/",56,7,1,0
"10",452,"CzPV312a/",70,7,2,0
"11",454,"CzPV312a/",71,7,1,0
"12",461,"CzPV312a/",78,7,2,0
"13",464,"CzPV312a/",82,7,2,0
"14",465,"CzPV312a/",82,7,1,0
"15",518,"GUOdmtII/",34,1,1,1
"16",544,"GUOdmtII/",69,7,2,0
"17",546,"GUOdmtII/",70,7,1,0
"18",556,"GUOdmtII/",81,7,2,0
"19",557,"GUOdmtII/",81,7,1,0
"20",641,"lOpzwMkp/",45,7,1,0
"21",682,"lOpzwMkp/",71,7,2,0
"22",683,"lOpzwMkp/",76,7,1,0
"23",687,"lOpzwMkp/",80,1,2,1
"24",688,"lOpzwMkp/",80,7,2,0
"25",706,"lOpzwMkp/",90,7,2,0
"26",882,"QuWqjrYa/",45,1,2,1
"27",906,"QuWqjrYa/",66,7,1,0
"28",907,"QuWqjrYa/",66,7,1,0
"29",917,"QuWqjrYa/",72,7,2,0
"30",918,"QuWqjrYa/",73,1,2,1
"31",919,"QuWqjrYa/",77,7,2,0
"32",920,"QuWqjrYa/",77,7,1,0
"33",930,"QuWqjrYa/",85,7,2,0
"34",947,"UBZQ4smg/",6,1,1,1
"35",953,"UBZQ4smg/",10,1,2,1
"36",991,"UBZQ4smg/",33,1,2,1
"37",1010,"UBZQ4smg/",50,7,1,0
"38",1021,"UBZQ4smg/",60,7,1,0
"39",1037,"UBZQ4smg/",74,1,2,1
"40",1040,"UBZQ4smg/",77,7,2,0
"41",1056,"UBZQ4smg/",83,7,1,0
"42",1060,"UBZQ4smg/",85,7,2,0
"43",1090,"Wn69eU5B/",17,1,2,1
"44",1125,"Wn69eU5B/",45,7,1,0
"45",1161,"Wn69eU5B/",75,7,2,0
"46",1170,"Wn69eU5B/",81,7,2,0
"47",1174,"Wn69eU5B/",83,7,1,0
"48",1179,"Wn69eU5B/",84,7,2,0
"49",1181,"Wn69eU5B/",85,1,2,1
"50",1185,"Wn69eU5B/",88,7,1,0
"51",1188,"Wn69eU5B/",90,1,2,1
"52",1353,"x4HJ63It/",36,1,1,1
"53",1367,"x4HJ63It/",45,1,2,1
"54",1375,"x4HJ63It/",53,7,1,0
"55",1384,"x4HJ63It/",59,7,1,0
"56",1410,"x4HJ63It/",75,1,1,1
"57",1413,"x4HJ63It/",78,7,1,0
"58",1416,"x4HJ63It/",82,7,2,0
"59",1423,"x4HJ63It/",86,7,2,0
"60",1427,"x4HJ63It/",89,7,2,0
"61",1433,"x4HJ63It/",90,1,1,1
"62",1479,"xQ65dAj5/",37,1,1,1
"63",1488,"xQ65dAj5/",45,7,2,0
"64",1504,"xQ65dAj5/",56,1,1,1
"65",1514,"xQ65dAj5/",65,7,2,0
"66",1518,"xQ65dAj5/",68,7,2,0
"67",1522,"xQ65dAj5/",72,7,1,0
"68",1532,"xQ65dAj5/",79,7,1,0
"69",1540,"xQ65dAj5/",85,7,1,0
"70",1547,"xQ65dAj5/",89,1,1,1
"71",1697,"zeViBqAP/",38,1,1,1
"72",1718,"zeViBqAP/",58,1,2,1
"73",1724,"zeViBqAP/",66,7,1,0
"74",1725,"zeViBqAP/",66,7,1,0
"75",1729,"zeViBqAP/",70,1,2,1
"76",1734,"zeViBqAP/",74,1,1,1
"77",1735,"zeViBqAP/",74,7,1,0
"78",1738,"zeViBqAP/",76,7,2,0
"79",1741,"zeViBqAP/",82,7,2,0
"80",1756,"zeViBqAP/",90,7,2,0
"81",1776,"84Llk2m6/",18,1,2,1
"82",1799,"84Llk2m6/",31,1,2,1
"83",1822,"84Llk2m6/",56,1,1,1
"84",1828,"84Llk2m6/",60,7,2,0
"85",1834,"84Llk2m6/",66,7,1,0
"86",1841,"84Llk2m6/",71,7,1,0
"87",1850,"84Llk2m6/",77,7,1,0
"88",1854,"84Llk2m6/",83,7,2,0
"89",1913,"fLN0n0XO/",36,1,2,1
"90",1914,"fLN0n0XO/",38,1,2,1
"91",1932,"fLN0n0XO/",45,1,1,1
"92",1942,"fLN0n0XO/",51,1,2,1
"93",1943,"fLN0n0XO/",53,7,2,0
"94",1966,"fLN0n0XO/",66,7,1,0
"95",1967,"fLN0n0XO/",67,7,1,0
"96",1968,"fLN0n0XO/",67,7,1,0
"97",1976,"fLN0n0XO/",75,7,2,0
"98",1978,"fLN0n0XO/",78,1,2,1
"99",1984,"fLN0n0XO/",83,7,2,0
"100",1988,"fLN0n0XO/",87,1,2,1
"101",2586,"Ea52eLBS/",9,1,1,1
"102",2630,"Ea52eLBS/",54,7,2,0
"103",2631,"Ea52eLBS/",56,7,2,0
"104",2636,"Ea52eLBS/",62,7,1,0
"105",2646,"Ea52eLBS/",69,7,1,0
"106",2657,"Ea52eLBS/",75,7,2,0
"107",2661,"Ea52eLBS/",81,7,1,0
"108",2736,"I5sHJt2n/",63,7,1,0
"109",2737,"I5sHJt2n/",65,7,2,0
"110",2738,"I5sHJt2n/",65,7,1,0
"111",2755,"I5sHJt2n/",82,7,2,0
"112",2761,"I5sHJt2n/",88,1,1,1
"113",2765,"I5sHJt2n/",90,7,2,0
"114",2769,"I5sHJt2n/",90,7,1,0
"115",2791,"KhlsbNR9/",16,1,2,1
"116",2808,"KhlsbNR9/",27,1,2,1
"117",2827,"KhlsbNR9/",45,7,1,0
"118",2828,"KhlsbNR9/",45,7,1,0
"119",2838,"KhlsbNR9/",56,1,1,1
"120",2851,"KhlsbNR9/",63,7,2,0
"121",2864,"KhlsbNR9/",69,7,2,0
"122",2870,"KhlsbNR9/",76,7,1,0
"123",2884,"KhlsbNR9/",87,7,2,0
"124",2957,"lShocssG/",64,1,2,1
"125",2959,"lShocssG/",66,7,1,0
"126",2969,"lShocssG/",72,7,1,0
"127",2977,"lShocssG/",74,7,2,0
"128",2986,"lShocssG/",79,1,2,1
"129",2990,"lShocssG/",81,7,2,0
"130",2991,"lShocssG/",82,7,1,0
"131",2997,"lShocssG/",86,7,2,0
"132",3001,"lShocssG/",90,1,1,1
"133",3072,"pYve0J1O/",56,7,1,0
"134",3087,"pYve0J1O/",70,7,2,0
"135",3088,"pYve0J1O/",71,7,2,0
"136",3094,"pYve0J1O/",76,7,1,0
"137",3102,"pYve0J1O/",81,1,1,1
"138",3103,"pYve0J1O/",84,7,2,0
"139",3110,"pYve0J1O/",90,1,2,1
"140",3111,"pYve0J1O/",90,7,1,0
"141",3129,"t2kwa3C3/",25,1,1,1
